Title,Category,Rating,Price,Availability
A Light in the Attic,Poetry,Three,£51.77,In stock (22 available)
Tipping the Velvet,Historical Fiction,One,£53.74,In stock (20 available)
Soumission,Fiction,One,£50.10,In stock (20 available)
Sharp Objects,Mystery,Four,£47.82,In stock (20 available)
Sapiens: A Brief History of Humankind,History,Five,£54.23,In stock (20 available)
The Requiem Red,Young Adult,One,£22.65,In stock (19 available)
The Dirty Little Secrets of Getting Your Dream Job,Business,Four,£33.34,In stock (19 available)
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Default,Three,£17.93,In stock (19 available)
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Default,Four,£22.60,In stock (19 available)
The Black Maria,Poetry,One,£52.15,In stock (19 available)
"Starving Hearts (Triangular Trade Trilogy, #1)",Default,Two,£13.99,In stock (19 available)
Shakespeare's Sonnets,Poetry,Four,£20.66,In stock (19 available)
Set Me Free,Young Adult,Five,£17.46,In stock (19 available)
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art,Five,£52.29,In stock (19 available)
Rip it Up and Start Again,Music,Five,£35.02,In stock (19 available)
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Music,Three,£57.25,In stock (19 available)
Olio,Poetry,One,£23.88,In stock (19 available)
Mesaerion: The Best Science Fiction Stories 1800-1849,Science Fiction,One,£37.59,In stock (19 available)
Libertarianism for Beginners,Politics,Two,£51.33,In stock (19 available)
It's Only the Himalayas,Travel,Two,£45.17,In stock (19 available)
In Her Wake,Thriller,One,£12.84,In stock (19 available)
How Music Works,Music,Two,£37.32,In stock (19 available)
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Food and Drink,Three,£30.52,In stock (19 available)
Chase Me (Paris Nights #2),Romance,Five,£25.27,In stock (19 available)
Black Dust,Romance,Five,£34.53,In stock (19 available)
Birdsong: A Story in Pictures,Childrens,Three,£54.64,In stock (19 available)
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Default,Three,£22.50,In stock (19 available)
Aladdin and His Wonderful Lamp,Default,Three,£53.13,In stock (19 available)
